Record,Date,UTC Time,
     50042,12/04/2021, 5:48:01,   1.590000E+02
     50043,12/04/2021, 5:48:11,   1.640000E+02
     50044,12/04/2021, 5:48:21,   1.690000E+02
     50045,12/04/2021, 5:48:31,   1.740000E+02
     50046,12/04/2021, 5:48:41,   1.790000E+02
     50047,12/04/2021, 5:48:51,   1.840000E+02
     50048,12/04/2021, 5:49:01,   1.890000E+02
     50049,12/04/2021, 5:49:11,   1.940000E+02
     50050,12/04/2021, 5:49:21,   1.990000E+02
     50051,12/04/2021, 5:49:31,   3.000000E+00
     50052,12/04/2021, 5:49:41,   8.000000E+00
     50053,12/04/2021, 5:49:51,   1.300000E+01
     50054,12/04/2021, 5:50:01,   1.800000E+01
     50055,12/04/2021, 5:50:11,   2.300000E+01
     50056,12/04/2021, 5:50:21,   2.800000E+01
     50057,12/04/2021, 5:50:31,   3.300000E+01
     50058,12/04/2021, 5:50:41,   3.800000E+01
     50059,12/04/2021, 5:50:51,   4.300000E+01
     50060,12/04/2021, 5:51:01,   4.800000E+01
     50061,12/04/2021, 5:51:11,   5.300000E+01
     50062,12/04/2021, 5:51:21,   5.800000E+01
     50063,12/04/2021, 5:51:31,   6.300000E+01
     50064,12/04/2021, 5:51:41,   6.800000E+01
     50065,12/04/2021, 5:51:51,   7.300000E+01
     50066,12/04/2021, 5:52:01,   7.800000E+01
     50067,12/04/2021, 5:52:11,   8.300000E+01
     50068,12/04/2021, 5:52:21,   8.800000E+01
     50069,12/04/2021, 5:52:31,   9.300000E+01
     50070,12/04/2021, 5:52:41,   9.800000E+01
     50071,12/04/2021, 5:52:51,   1.030000E+02
     50072,12/04/2021, 5:53:01,   1.080000E+02
     50073,12/04/2021, 5:53:11,   1.130000E+02
     50074,12/04/2021, 5:53:21,   1.180000E+02
     50075,12/04/2021, 5:53:31,   1.230000E+02
     50076,12/04/2021, 5:53:41,   1.280000E+02
     50077,12/04/2021, 5:53:51,   1.330000E+02
     50078,12/04/2021, 5:54:01,   1.380000E+02
     50079,12/04/2021, 5:54:11,   1.430000E+02
     50080,12/04/2021, 5:54:21,   1.480000E+02
     50081,12/04/2021, 5:54:31,   1.530000E+02
     50082,12/04/2021, 5:54:41,   1.580000E+02
     50083,12/04/2021, 5:54:51,   1.630000E+02
     50084,12/04/2021, 5:55:01,   1.680000E+02
     50085,12/04/2021, 5:55:11,   1.730000E+02
     50086,12/04/2021, 5:55:21,   1.780000E+02
     50087,12/04/2021, 5:55:31,   1.830000E+02
     50088,12/04/2021, 5:55:41,   1.880000E+02
     50089,12/04/2021, 5:55:51,   1.930000E+02
     50090,12/04/2021, 5:56:01,   1.980000E+02
     50091,12/04/2021, 5:56:11,   2.000000E+00
     50092,12/04/2021, 5:56:21,   7.000000E+00
     50093,12/04/2021, 5:56:31,   1.200000E+01
     50094,12/04/2021, 5:56:41,   1.700000E+01
     50095,12/04/2021, 5:56:51,   2.200000E+01
     50096,12/04/2021, 5:57:01,   2.700000E+01
     50097,12/04/2021, 5:57:11,   3.200000E+01
     50098,12/04/2021, 5:57:21,   3.700000E+01
     50099,12/04/2021, 5:57:31,   4.200000E+01
     50100,12/04/2021, 5:57:41,   4.700000E+01
     50101,12/04/2021, 5:57:51,   5.200000E+01
     50102,12/04/2021, 5:58:01,   5.700000E+01
     50103,12/04/2021, 5:58:11,   6.200000E+01
     50104,12/04/2021, 5:58:21,   6.700000E+01
     50105,12/04/2021, 5:58:31,   7.200000E+01
     50106,12/04/2021, 5:58:41,   7.700000E+01
     50107,12/04/2021, 5:58:51,   8.200000E+01
     50108,12/04/2021, 5:59:01,   8.700000E+01
     50109,12/04/2021, 5:59:11,   9.200000E+01
     50110,12/04/2021, 5:59:21,   9.700000E+01
     50111,12/04/2021, 5:59:31,   1.020000E+02
     50112,12/04/2021, 5:59:41,   1.070000E+02
     50113,12/04/2021, 5:59:51,   1.120000E+02
     50114,12/04/2021, 6:00:01,   1.170000E+02
     50115,12/04/2021, 6:00:11,   1.220000E+02
     50116,12/04/2021, 6:00:21,   1.270000E+02
     50117,12/04/2021, 6:00:31,   1.320000E+02
     50118,12/04/2021, 6:00:41,   1.370000E+02
     50119,12/04/2021, 6:00:51,   1.420000E+02
     50120,12/04/2021, 6:01:01,   1.470000E+02
     50121,12/04/2021, 6:01:11,   1.520000E+02
     50122,12/04/2021, 6:01:21,   1.570000E+02
     50123,12/04/2021, 6:01:31,   1.620000E+02
     50124,12/04/2021, 6:01:41,   1.670000E+02
     50125,12/04/2021, 6:01:51,   1.720000E+02
     50126,12/04/2021, 6:02:01,   1.770000E+02
     50127,12/04/2021, 6:02:11,   1.820000E+02
     50128,12/04/2021, 6:02:21,   1.870000E+02
     50129,12/04/2021, 6:02:31,   1.920000E+02
     50130,12/04/2021, 6:02:41,   1.970000E+02
     50131,12/04/2021, 6:02:51,   1.000000E+00
     50132,12/04/2021, 6:03:01,   6.000000E+00
     50133,12/04/2021, 6:03:11,   1.100000E+01
     50134,12/04/2021, 6:03:21,   1.600000E+01
     50135,12/04/2021, 6:03:31,   2.100000E+01
     50136,12/04/2021, 6:03:41,   2.600000E+01
     50137,12/04/2021, 6:03:51,   3.100000E+01
     50138,12/04/2021, 6:04:01,   3.600000E+01
     50139,12/04/2021, 6:04:11,   4.100000E+01
     50140,12/04/2021, 6:04:21,   4.600000E+01
     50141,12/04/2021, 6:04:31,   5.100000E+01
     50142,12/04/2021, 6:04:41,   5.600000E+01
     50143,12/04/2021, 6:04:51,   6.100000E+01
     50144,12/04/2021, 6:05:01,   6.600000E+01
     50145,12/04/2021, 6:05:11,   7.100000E+01
     50146,12/04/2021, 6:05:21,   7.600000E+01
     50147,12/04/2021, 6:05:31,   8.100000E+01
     50148,12/04/2021, 6:05:41,   8.600000E+01
     50149,12/04/2021, 6:05:51,   9.100000E+01
     50150,12/04/2021, 6:06:01,   9.600000E+01
     50151,12/04/2021, 6:06:11,   1.010000E+02
     50152,12/04/2021, 6:06:21,   1.060000E+02
     50153,12/04/2021, 6:06:31,   1.110000E+02
     50154,12/04/2021, 6:06:41,   1.160000E+02
     50155,12/04/2021, 6:06:51,   1.210000E+02
     50156,12/04/2021, 6:07:01,   1.260000E+02
     50157,12/04/2021, 6:07:11,   1.310000E+02
     50158,12/04/2021, 6:07:21,   1.360000E+02
     50159,12/04/2021, 6:07:31,   1.410000E+02
     50160,12/04/2021, 6:07:41,   1.460000E+02
     50161,12/04/2021, 6:07:51,   1.510000E+02
     50162,12/04/2021, 6:08:01,   1.560000E+02
     50163,12/04/2021, 6:08:11,   1.610000E+02
     50164,12/04/2021, 6:08:21,   1.660000E+02
     50165,12/04/2021, 6:08:31,   1.710000E+02
     50166,12/04/2021, 6:08:41,   1.760000E+02
     50167,12/04/2021, 6:08:51,   1.810000E+02
     50168,12/04/2021, 6:09:01,   1.860000E+02
     50169,12/04/2021, 6:09:11,   1.910000E+02
     50170,12/04/2021, 6:09:21,   1.960000E+02
     50171,12/04/2021, 6:09:31,   0.000000E+00
     50172,12/04/2021, 6:09:41,   5.000000E+00
     50173,12/04/2021, 6:09:51,   1.000000E+01
     50174,12/04/2021, 6:10:01,   1.500000E+01
     50175,12/04/2021, 6:10:11,   2.000000E+01
     50176,12/04/2021, 6:10:21,   2.500000E+01
     50177,12/04/2021, 6:10:31,   3.000000E+01
     50178,12/04/2021, 6:10:41,   3.500000E+01
     50179,12/04/2021, 6:10:51,   4.000000E+01
     50180,12/04/2021, 6:11:01,   4.500000E+01
     50181,12/04/2021, 6:11:11,   5.000000E+01
     50182,12/04/2021, 6:11:21,   5.500000E+01
     50183,12/04/2021, 6:11:31,   6.000000E+01
     50184,12/04/2021, 6:11:41,   6.500000E+01
     50185,12/04/2021, 6:11:51,   7.000000E+01
     50186,12/04/2021, 6:12:01,   7.500000E+01
     50187,12/04/2021, 6:12:11,   8.000000E+01
     50188,12/04/2021, 6:12:21,   8.500000E+01
     50189,12/04/2021, 6:12:31,   9.000000E+01
     50190,12/04/2021, 6:12:41,   9.500000E+01
     50191,12/04/2021, 6:12:51,   1.000000E+02
     50192,12/04/2021, 6:13:01,   1.050000E+02
     50193,12/04/2021, 6:13:11,   1.100000E+02
     50194,12/04/2021, 6:13:21,   1.150000E+02
     50195,12/04/2021, 6:13:31,   1.200000E+02
     50196,12/04/2021, 6:13:41,   1.250000E+02
     50197,12/04/2021, 6:13:51,   1.300000E+02
     50198,12/04/2021, 6:14:01,   1.350000E+02
     50199,12/04/2021, 6:14:11,   1.400000E+02
     50200,12/04/2021, 6:14:21,   1.450000E+02
     50201,12/04/2021, 6:14:31,   1.500000E+02
     50202,12/04/2021, 6:14:41,   1.550000E+02
     50203,12/04/2021, 6:14:51,   1.600000E+02
     50204,12/04/2021, 6:15:01,   1.650000E+02
     50205,12/04/2021, 6:15:11,   1.700000E+02
     50206,12/04/2021, 6:15:21,   1.750000E+02
     50207,12/04/2021, 6:15:31,   1.800000E+02
     50208,12/04/2021, 6:15:41,   1.850000E+02
     50209,12/04/2021, 6:15:51,   1.900000E+02
     50210,12/04/2021, 6:16:01,   1.950000E+02
     50211,12/04/2021, 6:16:11,   2.000000E+02
     50212,12/04/2021, 6:16:21,   4.000000E+00
     50213,12/04/2021, 6:16:31,   9.000000E+00
     50214,12/04/2021, 6:16:41,   1.400000E+01
     50215,12/04/2021, 6:16:51,   1.900000E+01
     50216,12/04/2021, 6:17:01,   2.400000E+01
     50217,12/04/2021, 6:17:11,   2.900000E+01
     50218,12/04/2021, 6:17:21,   3.400000E+01
     50219,12/04/2021, 6:17:31,   3.900000E+01
     50220,12/04/2021, 6:17:41,   4.400000E+01
     50221,12/04/2021, 6:17:51,   4.900000E+01
     50222,12/04/2021, 6:18:01,   5.400000E+01
     50223,12/04/2021, 6:18:11,   5.900000E+01
     50224,12/04/2021, 6:18:21,   6.400000E+01
     50225,12/04/2021, 6:18:31,   6.900000E+01
     50226,12/04/2021, 6:18:41,   7.400000E+01
     50227,12/04/2021, 6:18:51,   7.900000E+01
     50228,12/04/2021, 6:19:01,   8.400000E+01
     50229,12/04/2021, 6:19:11,   8.900000E+01
     50230,12/04/2021, 6:19:21,   9.400000E+01
     50231,12/04/2021, 6:19:31,   9.900000E+01
     50232,12/04/2021, 6:19:41,   1.040000E+02
     50233,12/04/2021, 6:19:51,   1.090000E+02
     50234,12/04/2021, 6:20:01,   1.140000E+02
     50235,12/04/2021, 6:20:11,   1.190000E+02
     50236,12/04/2021, 6:20:21,   1.240000E+02
     50237,12/04/2021, 6:20:31,   1.290000E+02
     50238,12/04/2021, 6:20:41,   1.340000E+02
     50239,12/04/2021, 6:20:51,   1.390000E+02
     50240,12/04/2021, 6:21:01,   1.440000E+02
     50241,12/04/2021, 6:21:11,   1.490000E+02
     50242,12/04/2021, 6:21:21,   1.540000E+02
     50243,12/04/2021, 6:21:31,   1.590000E+02
     50244,12/04/2021, 6:21:41,   1.640000E+02
     50245,12/04/2021, 6:21:51,   1.690000E+02
     50246,12/04/2021, 6:22:01,   1.740000E+02
     50247,12/04/2021, 6:22:11,   1.790000E+02
     50248,12/04/2021, 6:22:21,   1.840000E+02
     50249,12/04/2021, 6:22:31,   1.890000E+02
     50250,12/04/2021, 6:22:41,   1.940000E+02
     50251,12/04/2021, 6:22:51,   1.990000E+02
     50252,12/04/2021, 6:23:01,   3.000000E+00
     50253,12/04/2021, 6:23:11,   8.000000E+00
     50254,12/04/2021, 6:23:21,   1.300000E+01
     50255,12/04/2021, 6:23:31,   1.800000E+01
     50256,12/04/2021, 6:23:41,   2.300000E+01
     50257,12/04/2021, 6:23:51,   2.800000E+01
     50258,12/04/2021, 6:24:01,   3.300000E+01
     50259,12/04/2021, 6:24:11,   3.800000E+01
     50260,12/04/2021, 6:24:21,   4.300000E+01
     50261,12/04/2021, 6:24:31,   4.800000E+01
     50262,12/04/2021, 6:24:41,   5.300000E+01
     50263,12/04/2021, 6:24:51,   5.800000E+01
     50264,12/04/2021, 6:25:01,   6.300000E+01
     50265,12/04/2021, 6:25:11,   6.800000E+01
     50266,12/04/2021, 6:25:21,   7.300000E+01
     50267,12/04/2021, 6:25:31,   7.800000E+01
     50268,12/04/2021, 6:25:41,   8.300000E+01
     50269,12/04/2021, 6:25:51,   8.800000E+01
     50270,12/04/2021, 6:26:01,   9.300000E+01
     50271,12/04/2021, 6:26:11,   9.800000E+01
     50272,12/04/2021, 6:26:21,   1.030000E+02
     50273,12/04/2021, 6:26:31,   1.080000E+02
     50274,12/04/2021, 6:26:41,   1.130000E+02
     50275,12/04/2021, 6:26:51,   1.180000E+02
     50276,12/04/2021, 6:27:01,   1.230000E+02
     50277,12/04/2021, 6:27:11,   1.280000E+02
     50278,12/04/2021, 6:27:21,   1.330000E+02
     50279,12/04/2021, 6:27:31,   1.380000E+02
     50280,12/04/2021, 6:27:41,   1.430000E+02
     50281,12/04/2021, 6:27:51,   1.480000E+02
     50282,12/04/2021, 6:28:01,   1.530000E+02
     50283,12/04/2021, 6:28:11,   1.580000E+02
     50284,12/04/2021, 6:28:21,   1.630000E+02
     50285,12/04/2021, 6:28:31,   1.680000E+02
     50286,12/04/2021, 6:28:41,   1.730000E+02
     50287,12/04/2021, 6:28:51,   1.780000E+02
     50288,12/04/2021, 6:29:01,   1.830000E+02
     50289,12/04/2021, 6:29:11,   1.880000E+02
     50290,12/04/2021, 6:29:21,   1.930000E+02
     50291,12/04/2021, 6:29:31,   1.980000E+02
     50292,12/04/2021, 6:29:41,   2.000000E+00
     50293,12/04/2021, 6:29:51,   7.000000E+00
     50294,12/04/2021, 6:30:01,   1.200000E+01
     50295,12/04/2021, 6:30:11,   1.700000E+01
     50296,12/04/2021, 6:30:21,   2.200000E+01
     50297,12/04/2021, 6:30:31,   2.700000E+01
     50298,12/04/2021, 6:30:41,   3.200000E+01
     50299,12/04/2021, 6:30:51,   3.700000E+01
     50300,12/04/2021, 6:31:01,   4.200000E+01
     50301,12/04/2021, 6:31:11,   4.700000E+01
     50302,12/04/2021, 6:31:21,   5.200000E+01
     50303,12/04/2021, 6:31:31,   5.700000E+01
     50304,12/04/2021, 6:31:41,   6.200000E+01
     50305,12/04/2021, 6:31:51,   6.700000E+01
     50306,12/04/2021, 6:32:01,   7.200000E+01
     50307,12/04/2021, 6:32:11,   7.700000E+01
     50308,12/04/2021, 6:32:21,   8.200000E+01
     50309,12/04/2021, 6:32:31,   8.700000E+01
     50310,12/04/2021, 6:32:41,   9.200000E+01
     50311,12/04/2021, 6:32:51,   9.700000E+01
     50312,12/04/2021, 6:33:01,   1.020000E+02
     50313,12/04/2021, 6:33:11,   1.070000E+02
     50314,12/04/2021, 6:33:21,   1.120000E+02
     50315,12/04/2021, 6:33:31,   1.170000E+02
     50316,12/04/2021, 6:33:41,   1.220000E+02
     50317,12/04/2021, 6:33:51,   1.270000E+02
     50318,12/04/2021, 6:34:01,   1.320000E+02
     50319,12/04/2021, 6:34:11,   1.370000E+02
     50320,12/04/2021, 6:34:21,   1.420000E+02
     50321,12/04/2021, 6:34:31,   1.470000E+02
     50322,12/04/2021, 6:34:41,   1.520000E+02
     50323,12/04/2021, 6:34:51,   1.570000E+02
     50324,12/04/2021, 6:35:01,   1.620000E+02
     50325,12/04/2021, 6:35:11,   1.670000E+02
     50326,12/04/2021, 6:35:21,   1.720000E+02
     50327,12/04/2021, 6:35:31,   1.770000E+02
     50328,12/04/2021, 6:35:41,   1.820000E+02
     50329,12/04/2021, 6:35:51,   1.870000E+02
     50330,12/04/2021, 6:36:01,   1.920000E+02
     50331,12/04/2021, 6:36:11,   1.970000E+02
     50332,12/04/2021, 6:36:21,   1.000000E+00
     50333,12/04/2021, 6:36:31,   6.000000E+00
     50334,12/04/2021, 6:36:41,   1.100000E+01
     50335,12/04/2021, 6:36:51,   1.600000E+01
     50336,12/04/2021, 6:37:01,   2.100000E+01
     50337,12/04/2021, 6:37:11,   2.600000E+01
     50338,12/04/2021, 6:37:21,   3.100000E+01
     50339,12/04/2021, 6:37:31,   3.600000E+01
     50340,12/04/2021, 6:37:41,   4.100000E+01
     50341,12/04/2021, 6:37:51,   4.600000E+01
     50342,12/04/2021, 6:38:01,   5.100000E+01
     50343,12/04/2021, 6:38:11,   5.600000E+01
     50344,12/04/2021, 6:38:21,   6.100000E+01
     50345,12/04/2021, 6:38:31,   6.600000E+01
     50346,12/04/2021, 6:38:41,   7.100000E+01
     50347,12/04/2021, 6:38:51,   7.600000E+01
     50348,12/04/2021, 6:39:01,   8.100000E+01
     50349,12/04/2021, 6:39:11,   8.600000E+01
     50350,12/04/2021, 6:39:21,   9.100000E+01
     50351,12/04/2021, 6:39:31,   9.600000E+01
     50352,12/04/2021, 6:39:41,   1.010000E+02
     50353,12/04/2021, 6:39:51,   1.060000E+02
     50354,12/04/2021, 6:40:01,   1.110000E+02
     50355,12/04/2021, 6:40:11,   1.160000E+02
     50356,12/04/2021, 6:40:21,   1.210000E+02
     50357,12/04/2021, 6:40:31,   1.260000E+02
     50358,12/04/2021, 6:40:41,   1.310000E+02
     50359,12/04/2021, 6:40:51,   1.360000E+02
     50360,12/04/2021, 6:41:01,   1.410000E+02
     50361,12/04/2021, 6:41:11,   1.460000E+02
     50362,12/04/2021, 6:41:21,   1.510000E+02
     50363,12/04/2021, 6:41:31,   1.560000E+02
     50364,12/04/2021, 6:41:41,   1.610000E+02
     50365,12/04/2021, 6:41:51,   1.660000E+02
     50366,12/04/2021, 6:42:01,   1.710000E+02
     50367,12/04/2021, 6:42:11,   1.760000E+02
     50368,12/04/2021, 6:42:21,   1.810000E+02
     50369,12/04/2021, 6:42:31,   1.860000E+02
     50370,12/04/2021, 6:42:41,   1.910000E+02
     50371,12/04/2021, 6:42:51,   1.960000E+02
     50372,12/04/2021, 6:43:01,   0.000000E+00
     50373,12/04/2021, 6:43:11,   5.000000E+00
     50374,12/04/2021, 6:43:21,   1.000000E+01
     50375,12/04/2021, 6:43:31,   1.500000E+01
     50376,12/04/2021, 6:43:41,   2.000000E+01
     50377,12/04/2021, 6:43:51,   2.500000E+01
     50378,12/04/2021, 6:44:01,   3.000000E+01
     50379,12/04/2021, 6:44:11,   3.500000E+01
     50380,12/04/2021, 6:44:21,   4.000000E+01
     50381,12/04/2021, 6:44:31,   4.500000E+01
     50382,12/04/2021, 6:44:41,   5.000000E+01
     50383,12/04/2021, 6:44:51,   5.500000E+01
     50384,12/04/2021, 6:45:01,   6.000000E+01
     50385,12/04/2021, 6:45:11,   6.500000E+01
     50386,12/04/2021, 6:45:21,   7.000000E+01
     50387,12/04/2021, 6:45:31,   7.500000E+01
     50388,12/04/2021, 6:45:41,   8.000000E+01
     50389,12/04/2021, 6:45:51,   8.500000E+01
     50390,12/04/2021, 6:46:01,   9.000000E+01
     50391,12/04/2021, 6:46:11,   9.500000E+01
     50392,12/04/2021, 6:46:21,   1.000000E+02
     50393,12/04/2021, 6:46:31,   1.050000E+02
     50394,12/04/2021, 6:46:41,   1.100000E+02
     50395,12/04/2021, 6:46:51,   1.150000E+02
     50396,12/04/2021, 6:47:01,   1.200000E+02
     50397,12/04/2021, 6:47:11,   1.250000E+02
     50398,12/04/2021, 6:47:21,   1.300000E+02
     50399,12/04/2021, 6:47:31,   1.350000E+02
     50400,12/04/2021, 6:47:41,   1.400000E+02
     50401,12/04/2021, 8:47:52,   1.270000E+02
     50402,12/04/2021, 8:48:02,   1.320000E+02
     50403,12/04/2021, 8:48:12,   1.370000E+02
     50404,12/04/2021, 8:48:22,   1.420000E+02
     50405,12/04/2021, 8:48:32,   1.470000E+02
     50406,12/04/2021, 8:48:42,   1.520000E+02
     50407,12/04/2021, 8:48:52,   1.570000E+02
     50408,12/04/2021, 8:49:02,   1.620000E+02
     50409,12/04/2021, 8:49:12,   1.670000E+02
     50410,12/04/2021, 8:49:22,   1.720000E+02
     50411,12/04/2021, 8:49:32,   1.770000E+02
     50412,12/04/2021, 8:49:42,   1.820000E+02
     50413,12/04/2021, 8:49:52,   1.870000E+02
     50414,12/04/2021, 8:50:02,   1.920000E+02
     50415,12/04/2021, 8:50:12,   1.970000E+02
     50416,12/04/2021, 8:50:22,   1.000000E+00
     50417,12/04/2021, 8:50:32,   6.000000E+00
     50418,12/04/2021, 8:50:42,   1.100000E+01
     50419,12/04/2021, 8:50:52,   1.600000E+01
     50420,12/04/2021, 8:51:02,   2.100000E+01
     50421,12/04/2021, 8:51:12,   2.600000E+01
     50422,12/04/2021, 8:51:22,   3.100000E+01
     50423,12/04/2021, 8:51:32,   3.600000E+01
     50424,12/04/2021, 8:51:42,   4.100000E+01
     50425,12/04/2021, 8:51:52,   4.600000E+01
     50426,12/04/2021, 8:52:02,   5.100000E+01
     50427,12/04/2021, 8:52:12,   5.600000E+01
     50428,12/04/2021, 8:52:22,   6.100000E+01
     50429,12/04/2021, 8:52:32,   6.600000E+01
     50430,12/04/2021, 8:52:42,   7.100000E+01
     50431,12/04/2021, 8:52:52,   7.600000E+01
     50432,12/04/2021, 8:53:02,   8.100000E+01
     50433,12/04/2021, 8:53:12,   8.600000E+01
     50434,12/04/2021, 8:53:22,   9.100000E+01
     50435,12/04/2021, 8:53:32,   9.600000E+01
     50436,12/04/2021, 8:53:42,   1.010000E+02
     50437,12/04/2021, 8:53:52,   1.060000E+02
     50438,12/04/2021, 8:54:02,   1.110000E+02
     50439,12/04/2021, 8:54:12,   1.160000E+02
     50440,12/04/2021, 8:54:22,   1.210000E+02
     50441,12/04/2021, 8:54:32,   1.260000E+02
     50442,12/04/2021, 8:54:42,   1.310000E+02
     50443,12/04/2021, 8:54:52,   1.360000E+02
     50444,12/04/2021, 8:55:02,   1.410000E+02
     50445,12/04/2021, 8:55:12,   1.460000E+02
     50446,12/04/2021, 8:55:22,   1.510000E+02
     50447,12/04/2021, 8:55:32,   1.560000E+02
     50448,12/04/2021, 8:55:42,   1.610000E+02
     50449,12/04/2021, 8:55:52,   1.660000E+02
     50450,12/04/2021, 8:56:02,   1.710000E+02
     50451,12/04/2021, 8:56:12,   1.760000E+02
     50452,12/04/2021, 8:56:22,   1.810000E+02
     50453,12/04/2021, 8:56:32,   1.860000E+02
     50454,12/04/2021, 8:56:42,   1.910000E+02
     50455,12/04/2021, 8:56:52,   1.960000E+02
     50456,12/04/2021, 8:57:02,   0.000000E+00
     50457,12/04/2021, 8:57:12,   5.000000E+00
     50458,12/04/2021, 8:57:22,   1.000000E+01
     50459,12/04/2021, 8:57:32,   1.500000E+01
     50460,12/04/2021, 8:57:42,   2.000000E+01
     50461,12/04/2021, 8:57:52,   2.500000E+01
     50462,12/04/2021, 8:58:02,   3.000000E+01
     50463,12/04/2021, 8:58:12,   3.500000E+01
     50464,12/04/2021, 8:58:22,   4.000000E+01
     50465,12/04/2021, 8:58:32,   4.500000E+01
     50466,12/04/2021, 8:58:42,   5.000000E+01
     50467,12/04/2021, 8:58:52,   5.500000E+01
     50468,12/04/2021, 8:59:02,   6.000000E+01
     50469,12/04/2021, 8:59:12,   6.500000E+01
     50470,12/04/2021, 8:59:22,   7.000000E+01
     50471,12/04/2021, 8:59:32,   7.500000E+01
     50472,12/04/2021, 8:59:42,   8.000000E+01
     50473,12/04/2021, 8:59:52,   8.500000E+01
     50474,12/04/2021, 9:00:02,   9.000000E+01
     50475,12/04/2021, 9:00:12,   9.500000E+01
     50476,12/04/2021, 9:00:22,   1.000000E+02
     50477,12/04/2021, 9:00:32,   1.050000E+02
     50478,12/04/2021, 9:00:42,   1.100000E+02
     50479,12/04/2021, 9:00:52,   1.150000E+02
     50480,12/04/2021, 9:01:02,   1.200000E+02
     50481,12/04/2021, 9:01:12,   1.250000E+02
     50482,12/04/2021, 9:01:22,   1.300000E+02
     50483,12/04/2021, 9:01:32,   1.350000E+02
     50484,12/04/2021, 9:01:42,   1.400000E+02
     50485,12/04/2021, 9:01:52,   1.450000E+02
     50486,12/04/2021, 9:02:02,   1.500000E+02
     50487,12/04/2021, 9:02:12,   1.550000E+02
     50488,12/04/2021, 9:02:22,   1.600000E+02
     50489,12/04/2021, 9:02:32,   1.650000E+02
     50490,12/04/2021, 9:02:42,   1.700000E+02
     50491,12/04/2021, 9:02:52,   1.750000E+02
     50492,12/04/2021, 9:03:02,   1.800000E+02
     50493,12/04/2021, 9:03:12,   1.850000E+02
     50494,12/04/2021, 9:03:22,   1.900000E+02
     50495,12/04/2021, 9:03:32,   1.950000E+02
     50496,12/04/2021, 9:03:42,   2.000000E+02
     50497,12/04/2021, 9:03:52,   4.000000E+00
     50498,12/04/2021, 9:04:02,   9.000000E+00
     50499,12/04/2021, 9:04:12,   1.400000E+01
     50500,12/04/2021, 9:04:22,   1.900000E+01
     50501,12/04/2021, 9:04:32,   2.400000E+01
     50502,12/04/2021, 9:04:42,   2.900000E+01
     50503,12/04/2021, 9:04:52,   3.400000E+01
     50504,12/04/2021, 9:05:02,   3.900000E+01
     50505,12/04/2021, 9:05:12,   4.400000E+01
     50506,12/04/2021, 9:05:22,   4.900000E+01
     50507,12/04/2021, 9:05:32,   5.400000E+01
     50508,12/04/2021, 9:05:42,   5.900000E+01
     50509,12/04/2021, 9:05:52,   6.400000E+01
     50510,12/04/2021, 9:06:02,   6.900000E+01
     50511,12/04/2021, 9:06:12,   7.400000E+01
     50512,12/04/2021, 9:06:22,   7.900000E+01
     50513,12/04/2021, 9:06:32,   8.400000E+01
     50514,12/04/2021, 9:06:42,   8.900000E+01
     50515,12/04/2021, 9:06:52,   9.400000E+01
     50516,12/04/2021, 9:07:02,   9.900000E+01
     50517,12/04/2021, 9:07:12,   1.040000E+02
